"impacto","circuito","servicio","motivo","solicita","numeroinstalacion","municipio","nombreresponsable","fecha_y_hora_esperada","inicio","fin","horas","estado","fecharegistro","barrio","nombrecontratista","tipoaviso"
Alto,Altavista Centro,Agua,Modernización,Unidad Desarrollo de Intervenciones de Inversión,"13163",Medellín,Jorge Humberto Marin Posada,2023-05-21 04:00:00.000,2023-05-21 10:00:00.000,2023-05-22 04:00:00.000,18.0,ABIERTA,2023-05-11,Distrito Medellín: Las Mercedes; Belén; Los Alpes; Altavista; La Palma; Las Violetas.,Redyco S.A.S.,IVR + Plan medios
Alto,Santa Elena,Agua,Mantenimiento,"Unidad Mantenimiento Captaciones, Instalaciones y Redes Primaria","13482",Medellín,Juan David Muñoz Urrea,2022-11-16 04:00:00.000,2022-11-16 20:00:00.000,2022-11-17 04:00:00.000,8.0,ABIERTA,2022-10-27,"Alejandro Echavarria, Barrios de Jesús, Belen, Boston, El Pinal, Enciso, La Ladera, La Libertad, Las Estancias, Llanaditas, Los Mangos, San Antonio, Sucre, Trece de Noviembre, Villa Liliam, Villatina.",Contratista: Ingeniería Total Ltda.,IVR + Plan medios
Alto,Santa Elena,Agua,Lavado de tanque,"Unidad  Mantenimiento Captaciones, Instalaciones y Redes Primarias","13503",Medellín,Jorge Andrés Lora Hoyos,2023-05-31 05:00:00.000,2023-05-31 17:00:00.000,2023-06-01 05:00:00.000,12.0,ABIERTA,2023-04-24,Distrito Medellín:  La Libertad; Villatina; Barrios De Jesús; Las Estancias; Villa Lilliam; El Pinal; Los Mangos; Enciso; La Ladera; Sucre.,Contratista: Ingeniería Total Ltda.,IVR + Plan medios
Alto,Santa Elena,Agua,Modernización,Unidad Desarrollo Intervenciones de Inversión,"13504",Medellín,Jorge Andrés Lora Hoyos,2023-09-07 05:00:00.000,2023-09-06 12:00:00.000,2023-09-07 05:00:00.000,17.0,ABIERTA,2023-08-02,Distrito Medellín:  La Libertad; Villatina; Barrios De Jesús; Las Estancias; Villa Lilliam; El Pinal; Los Mangos; Enciso; La Ladera; Sucre.,Contratista: Sanear S.A.,IVR + Plan medios
Alto,La Montaña,Agua,Modernización,Dirección Proyectos Sostenimiento Generación,"13684",Medellín,Jorge Humberto Marin Posada,2023-03-01 21:00:00.000,2023-03-01 11:00:00.000,2023-03-01 21:00:00.000,10.0,ABIERTA,2023-02-22,Versalles No. 2 (Sta. Elena); La Cruz (Sta. Elena); Oriente (Sta. Elena); Versalles No. 1; El Raizal; Carpinelo (Sta. Elena); San Jose La Cima No. 1 S.E.; La Avanzada (Sta. Elena); Maria Cano-Carambolas S.E.; San Jose La Cima No. ,Dirección Montajes.,IVR + Plan medios
Alto,Niquia,Agua,Lavado de tanque,"Unidad Mantenimiento Captaciones, Instalaciones y Redes Primarias","13725",Bello,Jorge Humberto Marin Posada,2023-08-15 04:00:00.000,2023-08-14 21:00:00.000,2023-08-15 04:00:00.000,7.0,ABIERTA,2023-08-08,"Municipio Bello: Zona Industrial 3; Jardines De La Fe; Altos De Niquia; Guasimalito; Hermosa Provincia; Ciudad Niquia; La Navarra; La Ciudadela Del Norte, Montañita Arriba.",Ingeniería Total Ltda.,IVR + Plan medios
Alto,La Pastora,Agua,Daño,Unidad Mantenimiento Redes Secundarias Acueducto,"13773",Medellín,Juan David Muñoz Urrea,2023-04-27 05:00:00.000,2023-04-27 19:00:00.000,2023-04-28 05:00:00.000,10.0,ABIERTA,2023-04-20,"Barrios de Jesús, Bombona # 2, Cataluña, La Asomadera, Los Cerros, El Vergel.",Recurso Propio.,IVR + Plan medios
Bajo,Porvenir A,Agua,Mantenimiento,Unidad Mantenimiento Redes Secundarias Acueducto,"138",Rionegro,Juan David Muñoz Urrea,2023-05-17 17:00:00.000,2023-05-17 13:00:00.000,2023-05-17 17:00:00.000,4.0,ABIERTA,2023-05-08,El Porvenir,Consorcio C&G.,Volantes
Bajo,Volador Centro,Agua,Modernización,Unidad Desarrollo Intervenciones de Inversión,"146",Medellín,Jorge Andrés Lora Hoyos,2023-07-04 16:00:00.000,2023-07-04 14:00:00.000,2023-07-04 16:00:00.000,2.0,ABIERTA,2023-04-27,Distrito de Medellín: Estadio,Contratista: UT Redes SMA.,Volantes
Bajo,Altavista Sur,Agua,Modernización,Unidad Desarrollo de Intervenciones de Inversión,"147",Medellín,Juan David Muñoz Urrea,2023-09-19 17:00:00.000,2023-09-19 14:00:00.000,2023-09-19 17:00:00.000,3.0,ABIERTA,2023-09-13,San Bernardo,Consorcio Redes 2020.,Volantes
Bajo,Picacho,Agua,Mantenimiento,Unidad Mantenimiento Redes Secundarias Acueducto,"1473",Medellín,Jorge Andrés Lora Hoyos,2023-04-27 16:00:00.000,2023-04-27 13:00:00.000,2023-04-27 16:00:00.000,3.0,ABIERTA,2023-04-13,"Municipio de Medellín: Doce de Octubre, Santander. Municipio de Bello: Maruchenga.",Condugas SA.,IVR
Medio,El Dorado,Agua,Modernización,Unidad Desarrollo de Intervenciones de Inversión,"1479",Envigado,Oscar Restrepo Gallego,2023-06-26 21:00:00.000,2023-06-26 09:00:00.000,2023-06-26 21:00:00.000,12.0,ABIERTA,2023-06-07,"La Magnolia, Pontevedra.",Consorcio CYC GAAL.,IVR
Bajo,Campestre,Agua,Modernización,Unidad Desarrollo de Intervenciones de Inversión,"1480",Itagüí,Juan David Muñoz Urrea,2023-08-15 03:00:00.000,2023-08-14 22:00:00.000,2023-08-15 03:00:00.000,5.0,ABIERTA,2023-08-04,"La Esmeralda, Santa María 2, Simon Bolivar",Consorcio CYC GAAL.,IVR
ALTO,Pajarito,Agua,Modernización,"Dirección Proyectos Aguas, Saneamiento, Gas y Locativos","14895",Medellín,Jorge Andrés Lora Hoyos,2022-11-29 06:00:00.000,2022-11-29 17:00:00.000,2022-11-30 06:00:00.000,13.0,ABIERTA,2022-11-15,Nazareth (San Cristóbal); Santa Margarita; Pajarito (San Cristóbal); Cucaracho; Monteclaro (San Cristóbal),Contratista Redyco SAS.,IVR + Plan medios
Alto,Pajarito,Agua,Modernización,"Dirección Proyectos Aguas, Saneamiento, Gas y Locativos 4","14895",Medellín,Jorge Andrés Lora Hoyos,2023-02-22 21:00:00.000,2023-02-22 07:00:00.000,2023-02-22 21:00:00.000,14.0,ABIERTA,2023-01-16,Nazareth (San Cristóbal); Santa Margarita; Pajarito (San Cristóbal); Cucaracho; Monteclaro (San Cristóbal),Redyco.,IVR + Plan medios
Alto,Pajarito,Agua,Modernización,Unidad Desarrollo Intervenciones de Inversión,"14895",Medellín,Jorge Andrés Lora Hoyos,2023-05-18 05:00:00.000,2023-05-18 13:00:00.000,2023-05-19 05:00:00.000,16.0,ABIERTA,2023-05-08,Distrito de Medellín: Nazareth (San Cristóbal); Santa Margarita; Pajarito (San Cristóbal); Cucaracho; Monteclaro (San Cristóbal).,Consorcio Maper SYE.,IVR + Plan medios
Alto,Pajarito,Agua,Lavado de tanque,"Unidad Mantenimiento Captaciones, Instalaciones y Redes Primarias","14895",Medellín,Jorge Humberto Marin Posada,2023-06-08 04:00:00.000,2023-06-08 21:00:00.000,2023-06-09 04:00:00.000,7.0,ABIERTA,2023-05-29,Distrito Medellín: Nazareth (San Cristóbal); Santa Margarita; Pajarito (San Cristóbal); Cucaracho; Monteclaro (San Cristóbal).,Ingeniería Total Ltda.,IVR + Plan medios
Bajo,Cucaracho,Agua,Mantenimiento,Unidad Mantenimiento Redes Secundarias Acueducto,"152",Medellín,Juan David Muñoz Urrea,2023-08-15 17:00:00.000,2023-08-15 13:00:00.000,2023-08-15 17:00:00.000,4.0,ABIERTA,2023-07-31,Santa Margarita,Condugas.,Volantes
Alto,Limoncito,Agua,Lavado de tanque,"Unidad Mantenimiento Captaciones, Instalaciones y Redes Primarias","15242",Medellín,Jorge Humberto Marin Posada,2023-04-26 04:00:00.000,2023-04-26 22:00:00.000,2023-04-27 04:00:00.000,6.0,ABIERTA,2023-04-17,Municipio Medellín:  La Libertad; El Pinal; Sucre; Alejandro Echavarría; Enciso; Villatina; San Miguel; La Ladera; La Mansión; Los Angeles; Boston; Caycedo.,Ingeniería Total Ltda.,IVR + Plan medios
Bajo,Porvenir,Agua,Modernización,Unidad Desarrollo de Intervenciones de Inversión,"153",Medellín,Juan David Muñoz Urrea,2023-04-05 16:00:00.000,2023-04-05 14:00:00.000,2023-04-05 16:00:00.000,2.0,ABIERTA,2023-03-27,Aures # 1,UT Redes AC SMA.,Volantes
Alto,Santo Domingo,Agua,Lavado de tanque,"Unidad Mantenimiento Captaciones, Instalaciones y Redes Primarias","15349",Medellín,Jorge Humberto Marin Posada,2023-05-10 03:00:00.000,2023-05-10 21:00:00.000,2023-05-11 03:00:00.000,6.0,ABIERTA,2023-05-02,Municipio Medellín: Santo Domingo Savio No. 1; Granizal; Moscú No. 2; La Salle; San Pablo; El Compromiso (Sta. Elena); La Esperanza No. 2 (Sta. Elena); San Jose La Cima No. 1 S.E.; San Jose La Cima No. 2 S.E.; Las Granjas; Oriente,Contratista: Ingeniería Total Ltda.,IVR + Plan medios
Alto,Santo Domingo,Agua,Modernización,Unidad Desarrollo de Intervenciones de Inversión,"15349",Medellín,Jorge Humberto Marin Posada,2023-08-30 04:00:00.000,2023-08-29 14:00:00.000,2023-08-30 04:00:00.000,14.0,ABIERTA,2023-08-22,Distrito Medellín: Santo Domingo Savio No. 1; Granizal; Moscú No. 2; La Salle; San Pablo; El Compromiso (Sta. Elena); La Esperanza No. 2 (Sta. Elena); San Jose La Cima No. 1 S.E.; San Jose La Cima No. 2 S.E.; Las Granjas; Oriente ,Contratista: INGEOMEGA  S.A.S.,IVR + Plan medios
BAJO,Las Brisas,Agua,Lavado de tanque,"Unidad  Mantenimiento Captaciones, Instalaciones y Redes Primarias","1538",Medellín,Jorge Andrés Lora Hoyos,2022-12-15 17:00:00.000,2022-12-15 13:00:00.000,2022-12-15 17:00:00.000,4.0,ABIERTA,2022-11-25,Altos del Poblado; La Asomadera No. 3; El Tesoro,Contratista: Ingeniería Total Ltda.,IVR
Bajo,Castilla-Bello,Agua,Modernización,Unidad Mantenimiento Redes Secundarias Acueducto,"157",Bello,FABER ESTEBAN GIL ACOSTA,2023-01-12 03:00:00.000,2023-01-12 23:00:00.000,2023-01-13 03:00:00.000,4.0,ABIERTA,2022-12-12,"Hato Viejo, Porvenir, Carmelo",PROING S.A.,Volantes
Bajo,Naranjitos,Agua,Mantenimiento,"Unidad Mantenimiento Captaciones, Instalaciones y Redes Primaria","1579",Medellín,Juan David Muñoz Urrea,2022-11-15 12:00:00.000,2022-11-15 08:00:00.000,2022-11-15 12:00:00.000,4.0,ABIERTA,2022-10-27,"El Tesoro, Naranjitos.",Contratista: Ingeniería Total Ltda.,IVR
Bajo,San Antonio De Prado,Agua,Lavado de tanque,"Unidad  Mantenimiento Captaciones, Instalaciones y Redes Primarias","1600",Medellín,Jorge Andrés Lora Hoyos,2023-03-01 05:00:00.000,2023-03-01 21:00:00.000,2023-03-02 05:00:00.000,8.0,ABIERTA,2023-02-21,Centro,Contratista: Ingeniería Total Ltda.,IVR
Bajo,San Antonio De Prado,Agua,Lavado de tanque,"Unidad  Mantenimiento Captaciones, Instalaciones y Redes Primarias","1600",Medellín,Jorge Humberto Marin Posada,2023-08-29 04:00:00.000,2023-08-28 22:00:00.000,2023-08-29 04:00:00.000,6.0,ABIERTA,2023-08-22,Centro,Contratista: Ingeniería Total Ltda.,IVR
Alto,Altos De Niquia,Agua,Lavado de tanque,"Unidad Mantenimiento Captaciones, Instalaciones y Redes Primarias","16459",Bello,Jorge Humberto Marin Posada,2022-11-22 03:00:00.000,2022-11-22 21:00:00.000,2022-11-23 03:00:00.000,6.0,ABIERTA,2022-11-16,El Mirador; Pachelly; Los Alpes (Bello); Altos de Niquia; Quitasol; Hermosa Provincia; Niquia Bifamiliar; El Ducado,Contratista: Ingeniería Total Ltda.,IVR + Plan medios
Bajo,Nutibara,Agua,Mantenimiento,Unidad Mantenimiento Redes Secundarias Acueducto,"165",Medellín,Juan David Muñoz Urrea,2023-02-28 18:00:00.000,2023-02-28 13:00:00.000,2023-02-28 18:00:00.000,5.0,ABIERTA,2023-02-22,San Bernardo,Contratista FM Ingeniería sa.,Volantes
Bajo,Castilla-Bello,Agua,Modernización,Unidad Mantenimiento Redes Secundarias Acueducto,"1658",Medellín,Juan David Muñoz Urrea,2023-03-14 01:00:00.000,2023-03-14 19:00:00.000,2023-03-15 01:00:00.000,6.0,ABIERTA,2023-02-22,"Las Brisas, Florencia",Condugas sa.,IVR
Bajo,Castilla-Bello,Agua,Programado,Unidad Mantenimiento Redes Secundarias Acueducto,"1658",Medellín,Juan David Muñoz Urrea,2023-03-14 01:00:00.000,2023-03-14 19:00:00.000,2023-03-15 01:00:00.000,6.0,ABIERTA,2023-03-06,"Las Brisas, Florencia",Contratista Condugas sa.,IVR
Bajo,América,Agua,Mantenimiento,Unidad Mantenimiento Redes Secundarias Acueducto,"167",Medellín,Juan David Muñoz Urrea,2023-03-09 18:00:00.000,2023-03-09 13:00:00.000,2023-03-09 18:00:00.000,5.0,ABIERTA,2023-03-02,Simon Bolivar,FM Ingenieria sa..,Volantes
Bajo,Picacho,Agua,Modernización,Unidad Desarrollo de Intervenciones de Inversión,"170",Medellín,Juan David Muñoz Urrea,2023-05-17 05:00:00.000,2023-05-17 20:00:00.000,2023-05-18 05:00:00.000,9.0,ABIERTA,2023-05-04,Doce de Octubre #2,Contratista UT Redes AC SMA.,Volantes
Alto,Copacabana,Agua,Lavado de tanque,"Unidad Mantenimiento Captaciones, Instalaciones y Redes Primarias","17087",Copacabana,Juan David Muñoz Urrea,2023-01-17 04:00:00.000,2023-01-17 20:00:00.000,2023-01-18 04:00:00.000,8.0,ABIERTA,2022-12-29,"Centro Simon Bolivar, Cristo Rey, El Obrero, El Recreo, El Remanso, Fatima, La Asunción La Azulita, La Misericordia, La Pedrera, Las Vegas, Machado, María, Miraflores, Mojon. Pedregal, Porvenir, San Francisco, San Juan, Tabalazo C",Contratista: Ingeniería Total Ltda.,IVR + Plan medios
Alto,Versalles,Agua,Lavado de tanque,"Unidad  Mantenimiento Captaciones, Instalaciones y Redes Primarias","17173",Medellín,Jorge Andrés Lora Hoyos,2023-03-15 04:00:00.000,2023-03-15 22:00:00.000,2023-03-16 04:00:00.000,6.0,ABIERTA,2023-02-21,Villa Hermosa; Manrique Oriental; El Raizal; Santa Inés; La Salle; Versalles No. 1; San Jose La Cima No. 2 S.E.; Las Granjas (Medellín); Oriente (Sta. Elena),Ingeniería Total Ltda.,IVR + Plan medios
Alto,Versalles,Agua,Preventivo,"Unidad  Mantenimiento Captaciones, Instalaciones y Redes Primarias","17173",Medellín,Jorge Andrés Lora Hoyos,2023-03-15 04:00:00.000,2023-03-15 22:00:00.000,2023-03-16 04:00:00.000,6.0,ABIERTA,2023-03-06,Villa Hermosa; Manrique Oriental; El Raizal; Santa Inés; La Salle; Versalles No. 1; San Jose La Cima No. 2 S.E.; Las Granjas (Medellín); Oriente (Sta. Elena),Ingeniería Total Ltda.,IVR + Plan medios
Alto,Versalles,Agua,Lavado de tanque,"Unidad  Mantenimiento Captaciones, Instalaciones y Redes Primarias","17173",Medellín,Jorge Andrés Lora Hoyos,2023-09-13 04:00:00.000,2023-09-12 22:00:00.000,2023-09-13 04:00:00.000,6.0,ABIERTA,2023-08-25,Distrito Medellín: Villa Hermosa; Manrique Oriental; El Raizal; Batallón Girardot; Santa Inés; La Salle; Versalles No. 1; San Jose La Cima No. 2 S.E.; Las Granjas; Oriente (Sta. Elena).,Contratista: Ingeniería Total Ltda.,IVR + Plan medios
ALTO,Palmitas,Agua,Lavado de tanque,"Unidad  Mantenimiento Captaciones, Instalaciones y Redes Primarias","177",Medellín,Jorge Andrés Lora Hoyos,2023-01-18 15:00:00.000,2023-01-18 10:00:00.000,2023-01-18 15:00:00.000,5.0,ABIERTA,2022-12-29,Corregimiento Palmitas,Contratista: Ingeniería Total Ltda.,Volantes
Bajo,Picacho,Agua,Modernización,Unidad Desarrollo Intervenciones de Inversión,"177",Medellín,Jorge Andrés Lora Hoyos,2023-04-24 16:00:00.000,2023-04-24 14:00:00.000,2023-04-24 16:00:00.000,2.0,ABIERTA,2023-04-17,Municipio de Medellín: Doce de Octubre,UT Redes AC SMA.,Volantes
Bajo,Altavista Sur,Agua,Modernización,Unidad Desarrollo de Intervenciones de Inversión,"178",Medellín,Juan David Muñoz Urrea,2023-04-19 05:00:00.000,2023-04-19 20:00:00.000,2023-04-20 05:00:00.000,9.0,ABIERTA,2023-03-22,"Granada, San Bernardo",Contratista Consorcio Redes 2020.,Volantes
Bajo,Nutibara,Agua,Mantenimiento,Unidad Mantenimiento Redes Secundarias Acueducto,"18",Medellín,Juan David Muñoz Urrea,2023-03-09 03:00:00.000,2023-03-09 23:00:00.000,2023-03-10 03:00:00.000,4.0,ABIERTA,2023-02-22,"Centro Administrativo, El Pomar.",Contratista Consorcio CyC.,Volantes
Bajo,Sabaneta,Agua,Mantenimiento,Unidad Mantenimiento Redes Secundarias Acueducto,"1807",Sabaneta,Juan David Muñoz Urrea,2023-07-19 01:00:00.000,2023-07-18 20:00:00.000,2023-07-19 01:00:00.000,5.0,ABIERTA,2023-07-06,Municipio de Sabaneta: Villa del Carmen,Contratista Consorcio CyC.,IVR
Alto,Copacabana,Agua,Lavado de tanque,"Unidad  Mantenimiento Captaciones, Instalaciones y Redes Primarias","18074",Copacabana,Jorge Andrés Lora Hoyos,2023-07-13 04:00:00.000,2023-07-12 20:00:00.000,2023-07-13 04:00:00.000,8.0,ABIERTA,2023-06-25,Municipio Copacabana: La Misericordia; Remanso; Pedregal; Villa Nueva; La Asunción; Simón Bolívar; Tobón Quintero; La Azulita; Las Vegas; El Recreo; El Obrero; Miraflores; Cristo Rey; Fátima; La Pedrera; El Majon; El Tablazo; La M,Contratista: Ingeniería Total Ltda.,IVR + Plan medios
Bajo,La Tolda,Agua,Lavado de tanque,"Unidad  Mantenimiento Captaciones, Instalaciones y Redes Primaria","1819",Copacabana,Jorge Andrés Lora Hoyos,2022-11-28 04:00:00.000,2022-11-28 20:00:00.000,2022-11-29 04:00:00.000,8.0,ABIERTA,2022-10-25,"La Veta, Zona Industrial 3 (Copacabana).",Contratista: Ingeniería Total Ltda..,IVR
Bajo,Altavista Sur,Agua,Mantenimiento,Unidad Mantenimiento Redes Secundarias Acueducto,"1825",Medellín,Juan David Muñoz Urrea,2023-02-15 18:00:00.000,2023-02-15 13:00:00.000,2023-02-15 18:00:00.000,5.0,ABIERTA,2023-02-08,"El Rincón, Loma de los Bernal",FM Ingeniería SA.,IVR
Bajo,Volador Centro,Agua,Modernización,Unidad Mantenimiento Redes Secundarias Acueducto,"183",Medellín,FABER ESTEBAN GIL ACOSTA,2023-02-01 16:00:00.000,2023-02-01 13:00:00.000,2023-02-01 16:00:00.000,3.0,ABIERTA,2023-01-12,"Calasanz, Estadio",Contratista CONDUGAS.,Volantes
Alto,Las Brujas,Agua,Lavado de tanque,"Unidad Mantenimiento Captaciones, Instalaciones y Redes Primarias","18568",Envigado,Jorge Humberto Marin Posada,2023-04-25 04:00:00.000,2023-04-25 22:00:00.000,2023-04-26 04:00:00.000,6.0,ABIERTA,2023-04-17,Municipio Envigado: La Pradera; El Dorado; Uribe Angel; Obrero; La Sebastiana; Los Naranjos; Zona Centro; Mesa; La Inmaculada; Las Flores; La Magnolia; La Paz; El Trianon; Las Antillas; San Jose; Loma De Las Brujas; La Mina; El Ch,Ingeniería Total Ltda.,IVR + Plan medios
Alto,Las Brujas,Agua,Modernización,Unidad Mantenimiento Redes Secundarias Acueducto,"18568",Envigado,Jorge Andrés Lora Hoyos,2023-06-01 05:00:00.000,2023-06-01 13:00:00.000,2023-06-02 05:00:00.000,16.0,ABIERTA,2023-05-08,Municipio Envigado: La Pradera; El Dorado; Uribe Angel; Obrero; La Sebastiana; Los Naranjos; Zona Centro; Mesa; La Inmaculada; Las Flores; La Magnolia; La Paz; El Trianon; Las Antillas; San Jose; Loma De Las Brujas; La Mina; El Ch,Recurso Propio y Contratista C&C.,IVR + Plan medios
Bajo,La Tolda,Agua,Lavado de tanque,"Unidad Mantenimiento Captaciones, Instalaciones y Redes Primarias","1874",Copacabana,Jorge Humberto Marin Posada,2023-06-07 04:00:00.000,2023-06-07 20:00:00.000,2023-06-08 04:00:00.000,8.0,ABIERTA,2023-05-29,"Municipio Bello: Zona Industrial 3.
Municipio Copacabana: Copacabana; La Veta.",Ingeniería Total Ltda.,IVR
Alto,Altos De Niquia,Agua,Lavado de tanque,"Unidad  Mantenimiento Captaciones, Instalaciones y Redes Primarias","18790",Bello,Jorge Andrés Lora Hoyos,2023-05-30 03:00:00.000,2023-05-30 21:00:00.000,2023-05-31 03:00:00.000,6.0,ABIERTA,2023-05-24,Municipio Bello: El Mirador; Pachelly; Los Alpes; Altos De Niquia; Quitasol; Hermosa Provincia; Ciudad Niquia; Niquia Bifamiliar; El Ducado; La Aldea; Playa Rica.,Contratista: Ingeniería Total Ltda.,IVR + Plan medios
Bajo,Bello,Agua,Mantenimiento,Unidad Operación Integrada Agua y Saneamiento,"1886",Bello,Oscar Restrepo Gallego,2023-06-07 16:00:00.000,2023-06-07 10:00:00.000,2023-06-07 16:00:00.000,6.0,ABIERTA,2023-05-25,EL TRAPICHE,Recurso propio.,IVR
Bajo,San Cristóbal,Agua,Modernización,Unidad Desarrollo de Intervenciones de Inversión,"19",Medellín,Juan David Muñoz Urrea,2023-08-25 17:00:00.000,2023-08-25 14:00:00.000,2023-08-25 17:00:00.000,3.0,ABIERTA,2023-08-16,San Cristobal,UT REDES AC SMA,Volantes
Bajo,Aguas Frías,Agua,Mantenimiento,Unidad Desarrollo de Intervenciones de Inversión,"1912",Medellín,Juan David Muñoz Urrea,2023-02-27 05:00:00.000,2023-02-27 20:00:00.000,2023-02-28 05:00:00.000,9.0,ABIERTA,2023-02-23,"Aguas Frías, Las Mercedes, Las Violetas, San Pablo",Contratista MAPER sa.,IVR
Bajo,Aguas Frías,Agua,Mantenimiento,Unidad Desarrollo de Intervenciones de Inversión,"1912",Medellín,Juan David Muñoz Urrea,2023-03-13 05:00:00.000,2023-03-13 20:00:00.000,2023-03-14 05:00:00.000,9.0,ABIERTA,2023-03-03,"Aguas Frías, Las Mercedes, Las Violetas, San Pablo",MAPER sa.,IVR
Bajo,Aguas Frías,Agua,Lavado de tanque,"Dirección Proyectos Aguas, Saneamiento, Gas y Locativos 1","1912",Medellín,Jorge Humberto Marin Posada,2023-05-03 15:00:00.000,2023-05-03 08:00:00.000,2023-05-03 15:00:00.000,7.0,ABIERTA,2023-04-25,Municipio Medellín: Aguas Frías; Las Violetas; San Pablo,Contratista: Ingeniería Total Ltda.,IVR
Bajo,Picacho,Agua,Mantenimiento,Unidad Mantenimiento Redes Secundarias Acueducto,"192",Medellín,Juan David Muñoz Urrea,2023-05-30 16:00:00.000,2023-05-30 13:00:00.000,2023-05-30 16:00:00.000,3.0,ABIERTA,2023-05-19,Santander,Contratista Condugas .,Volantes
Bajo,Volador Centro,Agua,Modernización,Unidad Desarrollo de Intervenciones de Inversión,"1927",Medellín,Juan David Muñoz Urrea,2023-06-28 05:00:00.000,2023-06-27 20:00:00.000,2023-06-28 05:00:00.000,9.0,ABIERTA,2023-06-01,"Carlos E. Restrepo, Cerro El Volador, Universidad Nacional.",UT Redes AC SMA.,IVR
Bajo,Copacabana,Agua,Modernización,Unidad Mantenimiento Redes Secundarias Acueducto,"193",Copacabana,Juan David Muñoz Urrea,2023-02-23 04:00:00.000,2023-02-23 17:00:00.000,2023-02-24 04:00:00.000,11.0,ABIERTA,2023-02-13,"La Misericordia, Machado",Contratista Proing SA.,Volantes
Bajo,Altos De Niquia,Agua,Modernización,Unidad Vinculación y Desarrollos Urbanísticos Provisión Aguas,"1935",Bello,Oscar Restrepo Gallego,2023-06-15 05:00:00.000,2023-06-14 16:00:00.000,2023-06-15 05:00:00.000,13.0,ABIERTA,2023-05-15,"Quitasol, Urbanización Rosales de Terranova, San Francisco Etapa 3, Urbanización Carmel, Cerroazul, Cerro Claro Apartamentos, Telesillas, Cerro Claro Apartamentos",Contratista: Jaime Jaramillo OBRAS CAPITAL 3012566252.,IVR
Bajo,Naranjitos,Agua,Lavado de tanque,"Unidad Mantenimiento Captaciones, Instalaciones y Redes Primarias","1942",Medellín,Jorge Humberto Marin Posada,2023-05-18 12:00:00.000,2023-05-18 08:00:00.000,2023-05-18 12:00:00.000,4.0,ABIERTA,2023-05-10,Municipio Medellín: Naranjitos.,Ingeniería Total Ltda.,IVR
Bajo,Nutibara,Agua,Mantenimiento,Unidad Mantenimiento Redes Secundarias Acueducto,"195",Medellín,Oscar Restrepo Gallego,2023-09-12 17:00:00.000,2023-09-12 13:00:00.000,2023-09-12 17:00:00.000,4.0,ABIERTA,2023-09-12,Florida Nueva,Contratista Condugas.,Volantes
Bajo,Manzanillo,Agua,Programado,Unidad Desarrollo de Intervenciones de Inversió,"196",Itagüí,John Fredy Pulgarín Cardona,2022-11-17 17:30:00.000,2022-11-17 09:00:00.000,2022-11-17 17:30:00.000,8.5,ABIERTA,2022-11-10,El Ajizal y Los Gomez,CONTRATISTA CONSTRUCTORA SUMAS & RESTAS S.A.S.,Volantes
Bajo,Porvenir A,Agua,Mantenimiento,Unidad Mantenimiento Redes Secundarias Acueducto,"198",Rionegro,Juan David Muñoz Urrea,2023-03-23 17:00:00.000,2023-03-23 13:00:00.000,2023-03-23 17:00:00.000,4.0,ABIERTA,2023-03-16,El Porvenir,Contratista Consorcio C&G.,Volantes
Alto,Villa Del Socorro,Agua,Lavado de tanque,"Unidad Mantenimiento Captaciones, Instalaciones y Redes Primarias","19893",Medellín,Juan David Muñoz Urrea,2023-02-21 04:00:00.000,2023-02-21 22:00:00.000,2023-02-22 04:00:00.000,6.0,ABIERTA,2023-01-20,"Medellín: Andalucia, La Francia, La Frontera, La Rosa, Moravía, Moscú #1, Pablo VI, Palermo, Playon de los Comuneros, San Isidro, Santa Cruz, Villa del Socorro, Villa Niza.
Bello: Acevedo, La Gabriela, Machado, Playon de los Comun",Contratista: Ingeniería Total Ltda.,IVR + Plan medios
Alto,Villa Del Socorro,Agua,Lavado de tanque,"Unidad Mantenimiento Captaciones, Instalaciones y Redes Primarias","19893",Medellín,Jorge Humberto Marin Posada,2023-08-16 04:00:00.000,2023-08-15 22:00:00.000,2023-08-16 04:00:00.000,6.0,ABIERTA,2023-08-08,"Distrito Medellín: San Isidro; Palermo; La Rosa; Santa Cruz; Moravia; Zamora; Playón De Los Comuneros; La Frontera; Pablo VI; La Francia; Andalucía; Villa Niza; Moscú No. 1; Villa Del Socorro.
Municipio Bello: Zamora; La Gabriela;",Ingeniería Total Ltda.,IVR + Plan medios
Bajo,Campestre,Agua,Mantenimiento,Unidad Mantenimiento Redes Secundarias Acueducto,"20",Medellín,Juan David Muñoz Urrea,2023-02-01 18:00:00.000,2023-02-01 13:00:00.000,2023-02-01 18:00:00.000,5.0,ABIERTA,2023-01-19,Guayabla,Contratista FM Ingeniería sa.,Volantes
Bajo,Itagüí,Agua,Mantenimiento,Unidad Mantenimiento Redes Secundarias Acueducto,"20",Itagüí,Oscar Restrepo Gallego,2023-07-06 14:00:00.000,2023-07-06 08:00:00.000,2023-07-06 14:00:00.000,6.0,ABIERTA,2023-06-29,Calatrava,Contratista: FM Iingenieria  SA,Volantes
Bajo,América,Agua,Modernización,Unidad Desarrollo de Intervenciones de Inversión,"202",Medellín,FABER ESTEBAN GIL ACOSTA,2022-11-25 16:00:00.000,2022-11-25 13:00:00.000,2022-11-25 16:00:00.000,3.0,ABIERTA,2022-11-15,"Simón Bolívar, La Castellana, Santa Teresita",Contratista CONSORCIO REDES 2020 .,Volantes
